@relation '???1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,1'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute A85 numeric
@attribute A86 numeric
@attribute A87 numeric
@attribute A88 numeric
@attribute A89 numeric
@attribute A90 numeric
@attribute A91 numeric
@attribute A92 numeric
@attribute A93 numeric
@attribute A94 numeric
@attribute A95 numeric
@attribute A96 numeric
@attribute A97 numeric
@attribute A98 numeric
@attribute A99 numeric
@attribute A100 numeric
@attribute A101 numeric
@attribute A102 numeric
@attribute A103 numeric
@attribute A104 numeric
@attribute A105 numeric
@attribute A106 numeric
@attribute A107 numeric
@attribute A108 numeric
@attribute A109 numeric
@attribute A110 numeric
@attribute A111 numeric
@attribute A112 numeric
@attribute A113 numeric
@attribute A114 numeric
@attribute A115 numeric
@attribute A116 numeric
@attribute A117 numeric
@attribute A118 numeric
@attribute A119 numeric
@attribute A120 numeric
@attribute A121 numeric
@attribute A122 numeric
@attribute A123 numeric
@attribute A124 numeric
@attribute A125 numeric
@attribute A126 numeric
@attribute A127 numeric
@attribute A128 numeric
@attribute A129 numeric
@attribute A130 numeric
@attribute A131 numeric
@attribute A132 numeric
@attribute A133 numeric
@attribute A134 numeric
@attribute A135 numeric
@attribute A136 numeric
@attribute A137 numeric
@attribute A138 numeric
@attribute A139 numeric
@attribute A140 numeric
@attribute A141 numeric
@attribute A142 numeric
@attribute A143 numeric
@attribute A144 numeric
@attribute A145 numeric
@attribute A146 numeric
@attribute A147 numeric
@attribute A148 numeric
@attribute A149 numeric
@attribute A150 numeric
@attribute A151 numeric
@attribute A152 numeric
@attribute A153 numeric
@attribute A154 numeric
@attribute A155 numeric
@attribute A156 numeric
@attribute A157 numeric
@attribute A158 numeric
@attribute A159 numeric
@attribute A160 numeric
@attribute A161 numeric
@attribute A162 numeric
@attribute A163 numeric
@attribute A164 numeric
@attribute A165 numeric
@attribute A166 numeric
@attribute A167 numeric
@attribute A168 numeric
@attribute A169 numeric
@attribute A170 numeric
@attribute A171 numeric
@attribute A172 numeric
@attribute A173 numeric
@attribute A174 numeric
@attribute A175 numeric
@attribute A176 numeric
@attribute A177 numeric
@attribute A178 numeric
@attribute A179 numeric
@attribute A180 numeric
@attribute A181 numeric
@attribute A182 numeric
@attribute A183 numeric
@attribute A184 numeric
@attribute A185 numeric
@attribute A186 numeric
@attribute A187 numeric
@attribute A188 numeric
@attribute A189 numeric
@attribute A190 numeric
@attribute A191 numeric
@attribute A192 numeric
@attribute A193 numeric
@attribute A194 numeric
@attribute A195 numeric
@attribute A196 numeric
@attribute A197 numeric
@attribute A198 numeric
@attribute A199 numeric
@attribute A200 numeric
@attribute A201 numeric
@attribute A202 numeric
@attribute A203 numeric
@attribute A204 numeric
@attribute A205 numeric
@attribute A206 numeric
@attribute A207 numeric
@attribute A208 numeric
@attribute A209 numeric
@attribute A210 numeric
@attribute type0 {0,3}

@data
0.066717,0.066393,0.665453,3.865153,4.552167,3.913548,2.940592,0.048941,0.07103,0.657441,1.642096,2.122152,2.709168,3.242983,0.07728,0.041264,0.336826,1.394006,3.470561,4.212028,2.154741,0.014694,0.011321,0.098657,0.71194,1.205467,0.849,0.635,0.0114,0.022,0.054924,0.325653,0.601597,0.886144,0.429703,0.011099,0.02184,0.411846,0.80683,1.22622,1.403922,0.785159,0.43516,0.286878,0.496609,-0.157842,0.349372,0.456597,0.685207,0.336058,0.647477,0.555113,0.331764,-0.275519,-0.249154,0.026793,0.785368,0.11873,0.991755,0.826074,0.758074,0.726694,0.743504,-0.35748,-0.289254,-0.437355,0.404405,0.190358,0.151968,0.601365,0.04413,0.104583,0.18122,0.369706,-0.293022,-0.110838,0.256162,0.126896,0.370944,0.704898,0.941253,0.84044,0.963933,0.925196,0.005133,0.00285,0.011235,0.542309,1.152406,0.886524,1.00177,2.639706,2.659349,2.589546,1.906273,1.944946,1.479812,1.948421,2.98397,2.965051,2.855329,2.749122,5.490108,4.413898,2.506536,0.000021,0.000016,0.000502,0.017939,0.017917,0.056134,0.014742,0.000006,0.000005,0.000078,0.003474,0.023976,0.014915,0.021565,0.000011,0.000019,0.007452,0.040601,0.070645,0.008713,0.017044,0.304895,0.304895,1.362556,0.91122,0.304895,0.496534,0.490865,0.11191,0.11191,0.110581,0.301376,0.304895,0.304895,0.301376,0.11191,0.11191,0.110581,0.301376,0.304895,0.11191,0.301376,0.951726,0.648832,1.43199,0.844144,0.316016,0.514438,0.514438,1.420849,0.844144,1.100316,0.711332,0.316016,0.514438,0.316016,0.316016,0.668287,0.514438,0.514438,0.316016,0.316016,0.711332,0.011633,0.010482,0.007879,0.00883,-0.023794,0.235348,-0.110489,0.195793,0.200277,0.19826,0.198828,0.126834,0.237822,0.061076,0.205783,0.213914,0.206589,0.208427,0.169977,0.329871,0.25005,-0.000009,0.001073,0.000077,0.000728,-0.006174,-0.030671,0.048117,-0.000624,-0.000537,-0.000367,0.001177,0.006525,-0.031911,0.026529,0.00019,-0.000545,-0.001006,0.000905,0.041385,-0.052829,0.009011,0
0.473987,1.079071,4.164773,4.33662,4.275286,5.030916,1.37788,0.133674,1.628278,1.657309,2.267481,3.875042,2.948328,2.368327,0.156428,0.779779,2.026252,3.976589,4.298247,3.297715,2.690114,0.03438,0.51451,0.538406,1.295284,0.704933,0.907763,0.191824,0.140069,0.110783,0.398477,0.392322,0.727736,0.233341,0.22436,0.345131,0.497679,1.17938,0.981202,1.568743,0.654237,0.82654,0.045075,-0.502147,0.203288,0.030109,0.67311,0.747907,0.187113,-0.505016,-0.441045,0.679487,-0.563003,0.171851,-0.693456,-0.261373,0.816775,0.994258,0.837059,0.794389,0.838514,-0.040876,0.899201,-0.460449,-0.892723,0.203038,-0.143503,0.440802,0.233402,0.395776,-0.433313,-0.671449,0.349606,-0.479423,0.293921,-0.198056,0.221431,0.794894,0.912128,0.987427,0.933384,0.987026,0.896933,0.983172,0.007401,0.083432,1.035588,2.32163,1.142964,0.201475,2.195119,5.551454,3.907595,2.989384,4.732848,2.294292,1.48647,5.121646,2.758972,2.232447,2.858442,8.929849,9.320593,3.014157,2.897122,0.000326,0.015276,0.119363,0.016019,0.135608,0.025605,0.012066,0.000552,0.002425,0.004032,0.030322,0.003106,0.03885,0.013102,0.002747,0.058907,0.025077,0.196405,0.023183,0.121301,0.014788,0.912025,1.056264,0.148549,0.661396,1.196721,0.650816,0.650816,0.151097,0.401078,0.401078,0.407706,0.407706,0.401078,0.401078,0.151097,0.148549,0.401078,0.705291,0.407706,0.401078,0.401078,0.87982,0.695538,0.429122,0.695538,0.996416,0.429122,0.695538,0.436825,0.865397,0.695538,0.695538,0.429122,0.695538,0.429122,0.975058,0.695538,1.35169,0.695538,0.996416,0.996416,0.429122,0.00675,0.00856,-0.057851,0.129842,0.347808,-0.210287,0.080558,0.341664,0.34002,0.323749,0.158656,0.40445,0.212796,0.077635,0.239626,0.23816,0.235597,0.16913,0.481926,0.551901,0.08771,0.005608,0.001704,-0.002709,-0.069442,-0.029045,0.084012,0.011623,-0.015865,-0.000148,0.00586,0.011425,-0.041445,0.00769,0.039472,-0.011291,-0.002529,0.043188,0.039736,-0.098709,-0.025043,0.080059,0
0.792447,2.410859,4.293454,6.06594,3.863601,4.543373,2.51212,0.364626,1.749122,2.303748,2.570607,3.151464,3.598053,1.010144,0.133487,1.088126,3.274904,3.546371,5.484342,2.147306,1.202837,0.078726,0.668176,0.624974,1.326176,0.766612,0.64459,0.330827,0.134168,0.106488,0.393116,0.548226,0.500789,0.302153,0.069545,0.529658,0.512574,1.501534,0.914784,1.516677,0.715802,0.624304,0.632037,-0.557768,0.515866,0.559799,0.528675,0.90333,0.570167,0.552518,-0.670118,0.457743,-0.413269,-0.161693,0.14312,-0.393632,0.978413,0.987552,0.976105,0.522382,0.748201,0.549886,0.528494,0.129735,-0.178532,-0.230522,0.70798,-0.170683,0.795509,-0.488529,-0.637648,0.053684,-0.255791,0.188275,-0.569143,0.255378,-0.914149,-0.707491,0.742936,0.98644,0.826254,0.907052,0.78588,0.799288,0.041245,0.392196,2.931512,1.474734,1.168456,1.575395,1.962687,4.737608,2.833597,3.143173,4.555695,1.94115,2.34241,5.526662,3.554249,2.503046,4.198156,11.234014,5.603062,1.871118,3.341281,0.0016,0.02448,0.10906,0.025371,0.102892,0.019588,0.001057,0.000431,0.000406,0.010111,0.016109,0.030328,0.025554,0.004846,0.009891,0.08236,0.019073,0.25825,0.035316,0.087931,0.01186,0.414579,0.912025,0.661396,1.220158,0.912025,0.825069,0.151097,0.153742,0.151097,0.407706,0.414579,0.407706,0.57444,0.705291,0.153742,0.151097,0.407706,1.070215,0.407706,0.407706,0.407706,1.16243,0.436825,0.707799,1.132998,0.436825,0.909465,1.27113,0.925147,1.238389,0.436825,0.720545,0.707799,0.436825,0.707799,0.444839,1.508604,0.436825,0.720545,1.27113,0.707799,0.975058,0.043611,0.050125,-0.053058,0.340784,0.249693,-0.228578,0.281096,0.324436,0.327632,0.263127,0.184792,0.429222,0.056464,0.25343,0.2801,0.277044,0.252611,0.188208,0.619891,0.333554,0.117433,0.010295,0.006556,-0.007985,-0.079787,0.027774,0.074425,-0.02219,0.01124,-0.000569,0.000731,-0.013537,-0.032724,0.039531,0.021513,-0.009507,-0.000285,0.06389,-0.011935,-0.116396,0.028369,0.062325,0
0.107266,0.632643,1.937518,2.799416,3.30423,2.823725,3.523797,0.133122,0.322186,1.162293,0.698767,0.983631,1.819153,2.458856,0.113454,0.259864,0.726123,1.942179,3.526559,4.008227,2.452813,0.042488,0.083772,0.352939,0.646095,1.065533,0.766037,0.674117,0.101962,0.080707,0.121711,0.432446,0.481292,0.634627,0.197222,0.074737,0.337393,0.342684,0.916418,0.764052,1.214888,0.531446,-0.617789,0.577846,-0.858895,0.061959,0.358812,0.825666,0.953254,-0.651964,0.158077,-0.780567,0.573637,-0.678863,0.183571,-0.784616,0.620604,0.881595,0.988262,0.810902,0.430447,0.676129,-0.564541,0.546024,0.651276,-0.851101,0.608714,0.240418,0.936532,0.968438,-0.399335,0.548952,-0.294769,0.840409,-0.529289,0.55577,-0.159798,-0.965298,0.988535,0.743619,0.936215,0.675187,0.789503,-0.156521,0.010868,0.006021,0.099527,1.294191,1.307481,0.39838,0.37391,4.113315,4.041432,2.947469,2.313496,2.628188,1.687879,2.146768,1.905175,1.974038,1.549768,2.008286,6.242119,5.876773,1.594996,0.000169,0.000631,0.002375,0.05933,0.037368,0.061159,0.026549,0.000554,0.000266,0.003622,0.004113,0.021871,0.008227,0.013431,0.000274,0.006316,0.042984,0.007702,0.097429,0.026174,0.03272,0.868814,1.259589,0.684363,0.323939,0.66428,0.728797,0.527185,0.119116,0.119116,0.119116,0.323939,0.323939,0.323939,0.119116,0.119116,0.119116,0.119116,0.323939,0.323939,0.323939,0.323939,0.76671,0.697745,0.92909,0.898267,0.554881,0.554881,0.336679,0.554881,0.554881,0.125658,0.547661,0.697745,0.554881,0.336679,0.76671,0.341174,0.554881,0.756832,0.812627,0.341174,0.547661,0.019507,0.009792,0.005398,-0.023024,0.165889,0.205198,-0.081534,0.244062,0.258761,0.264292,0.222241,0.165534,0.23915,0.131995,0.172615,0.175441,0.186417,0.155098,0.132247,0.348914,0.361533,0.003079,-0.000412,0.00458,0.002309,-0.035782,-0.038458,0.046814,0.010375,0.000086,0.000904,0.0077,0.012657,-0.032669,0.017132,-0.007106,0.000217,0.002266,0.034295,0.01795,-0.054703,-0.031567,0
0.103958,0.568637,3.041572,3.110402,4.786078,3.315944,1.699105,0.047843,0.71736,1.435759,1.383405,1.816547,2.089397,1.615042,0.126871,0.245161,0.67623,3.681678,3.221736,4.411162,1.300193,0.080359,0.061209,0.661049,0.742475,1.182563,0.688539,0.298368,0.054855,0.06581,0.114919,0.527206,0.734771,0.424278,0.304726,0.051105,0.424678,0.534968,1.372141,0.988781,0.833385,0.429668,-0.206054,0.670597,-0.570691,0.229052,0.613099,0.713496,0.329576,0.205746,0.300088,-0.154575,0.090252,-0.033749,-0.713467,-0.470455,-0.523443,0.907627,0.859228,0.97011,0.755536,-0.053046,0.654397,-0.97003,-0.270254,0.004229,-0.40263,0.654966,0.167963,0.852743,0.902703,-0.288245,0.382082,-0.299396,0.497067,-0.437168,0.727088,-0.772903,0.992376,0.86507,0.975165,0.973587,0.808445,0.972607,0.137987,0.064498,0.620821,2.763365,0.726679,0.212053,0.91601,4.06371,3.726932,2.344812,2.317345,2.300046,2.265373,3.60987,1.796364,1.723037,1.433437,3.571577,6.699494,2.504651,0.748887,0.000179,0.000225,0.02041,0.070718,0.030057,0.047137,0.004713,0.00024,0.000301,0.002129,0.00613,0.008055,0.024714,0.006335,0.000036,0.010251,0.047031,0.026209,0.101595,0.027825,0.006096,0.117595,0.520726,0.319924,0.938993,0.319924,0.319924,0.520726,0.117595,0.117595,0.319924,0.117595,0.319924,0.319924,0.319924,0.117595,0.117595,0.319924,0.319924,0.319924,0.319924,0.520726,0.336679,1.211565,0.336679,0.547661,0.802938,0.547661,0.747228,0.547661,0.547661,0.756832,1.106706,0.336679,0.547661,0.332312,1.501671,0.336679,1.303319,0.547661,0.547661,1.008271,0.680561,0.053761,0.045944,0.038572,0.020199,0.30376,0.04235,0.026104,0.252615,0.255926,0.256617,0.173166,0.182913,0.238256,0.103261,0.182112,0.167588,0.170177,0.138857,0.190579,0.436685,0.089257,-0.007573,0.000398,0.00199,-0.006673,-0.055772,0.03296,0.03426,0.006267,0.000565,0.001318,0.007388,-0.006792,-0.020626,0.031658,-0.00405,0.000204,0.004366,0.042986,-0.024529,-0.062132,0.02912,0
0.133024,0.72062,3.404714,3.400193,4.537009,3.456505,1.265624,0.051541,0.860178,1.382396,1.545968,2.129064,2.263949,0.855173,0.097773,0.235989,0.729864,5.131517,4.910317,3.419635,0.966169,0.029506,0.111186,0.79061,1.14553,1.092045,0.721456,0.100982,0.044658,0.14402,0.331217,0.517116,0.713833,0.303842,0.147864,0.064736,0.416296,0.676666,1.126679,1.206067,0.574683,0.333276,0.139027,0.607712,-0.643849,-0.123115,0.671955,0.816741,0.097177,-0.350534,0.585325,-0.304414,-0.425914,0.117356,-0.678408,-0.615691,0.61383,0.963451,0.792482,0.920436,0.786135,-0.169763,0.724125,0.434882,-0.821845,0.576693,0.154811,0.799624,0.803654,0.795711,0.333414,-0.654741,0.743446,-0.367344,0.425082,-0.373995,0.810783,-0.528171,0.949225,0.961977,0.843413,0.871841,0.243094,0.980453,0.374027,0.209532,1.132461,3.022885,0.910836,0.325768,0.978737,4.504431,3.96233,2.455336,2.610652,2.194311,2.273911,4.020143,1.381567,1.320138,1.032325,4.370746,6.329802,1.888088,0.898976,0.000116,0.00051,0.038983,0.076386,0.078556,0.03354,0.000513,0.000358,0.001652,0.006669,0.014346,0.004,0.016062,0.001431,0.000043,0.01166,0.028949,0.063794,0.044604,0.027974,0.005682,0.120681,0.328067,0.328067,0.533821,0.533821,0.533821,0.119116,0.120681,0.120681,0.328067,0.120681,0.120681,0.328067,0.119116,0.120681,0.120681,0.468248,0.328067,0.878396,0.533821,0.323939,0.345804,1.216515,0.341174,0.554881,0.562313,0.345804,1.184435,0.345804,0.562313,0.554881,0.812627,0.562313,1.136458,0.76671,1.934767,0.345804,0.554881,0.908573,0.562313,0.919237,0.554881,0.085526,0.075293,0.065339,0.065497,0.333402,-0.04717,0.109425,0.272792,0.270459,0.273933,0.179086,0.203142,0.205444,0.161072,0.142575,0.148339,0.154828,0.126108,0.19414,0.455984,0.047533,0.001722,-0.000167,0.002992,-0.013894,-0.062586,0.059835,0.013404,0.005794,0.00034,0.002634,0.016922,-0.026277,0.012421,0.018717,-0.004068,0.000665,0.006912,0.036493,-0.047482,-0.04045,0.034619,0
0.808194,2.892618,8.036821,8.03652,8.833708,6.94269,3.383624,0.710604,2.39307,3.841108,4.370014,4.475293,3.778388,2.088352,0.461672,1.170097,2.835091,8.911683,7.809615,6.224197,2.733804,0.148534,0.403079,1.201757,1.755169,1.327436,1.167774,0.215196,0.177257,0.440739,0.537116,0.738562,0.912306,0.412984,0.328256,0.139058,0.947283,1.502883,1.765217,1.890977,0.671191,0.497094,0.406792,0.639508,-0.206689,0.145386,0.684655,0.727949,-0.322778,-0.302844,-0.093916,-0.064534,-0.274552,0.077692,-0.846616,-0.844205,0.746287,0.704111,0.921087,0.895733,0.759568,-0.278021,0.777598,-0.230904,-0.620047,0.061595,-0.387575,0.59234,0.444029,0.419747,0.518309,-0.276428,0.581608,-0.396386,0.561703,-0.021946,0.389681,0.433866,0.909731,0.845416,0.995159,0.998271,0.884376,0.999359,0.226104,0.104022,2.423783,9.694888,4.07417,0.624088,1.280419,6.168387,5.272838,2.207215,2.555938,2.140079,1.569544,5.774505,2.196262,2.414028,1.766494,9.528703,16.860174,3.426919,0.696981,0.001746,0.011189,0.108592,0.110708,0.274761,0.106002,0.003122,0.00055,0.008968,0.036315,0.029342,0.002667,0.046497,0.00646,0.000461,0.05434,0.137472,0.359783,0.110473,0.05637,0.008179,0.838048,1.178135,0.407706,0.661396,0.611142,1.070215,1.109765,0.414579,0.672361,0.407706,0.407706,0.414579,0.672361,0.825069,0.153742,0.672361,0.661396,0.151097,1.153647,0.672361,0.407706,0.720545,0.909465,0.612561,0.720545,0.87982,0.436825,1.24946,0.992339,0.436825,0.707799,0.720545,0.707799,0.707799,0.707799,1.803376,0.436825,0.707799,0.720545,0.436825,1.371331,1.27113,0.075896,0.034033,0.064184,-0.122501,0.779134,-0.352203,0.160834,0.37523,0.331022,0.431693,0.042285,0.330355,0.209321,0.087059,0.218231,0.20923,0.264456,0.095151,0.440716,0.854819,-0.056336,0.006005,-0.006652,0.017357,-0.05797,-0.086021,0.122914,0.03048,0.003245,0.005714,-0.011013,0.049905,-0.038551,0.002995,0.04657,-0.007592,-0.00098,0.013205,0.095465,-0.136172,-0.054731,0.055492,0
1.10661,3.382355,8.559022,9.855902,6.100566,2.808408,1.032419,0.625666,3.573267,3.782377,4.096313,3.945502,2.70036,0.700693,0.665764,2.112575,7.02866,9.059617,9.842233,3.478856,1.070548,0.190484,0.842688,1.295871,2.173225,1.297908,0.351193,0.198759,0.118375,0.363665,0.69179,0.820442,0.54393,0.346347,0.069106,0.329594,0.976667,2.182984,1.60217,0.939946,0.367073,0.151165,0.020954,0.008024,0.079829,0.355196,0.461827,-0.271743,0.393184,-0.893319,-0.580777,0.100241,-0.430047,-0.734318,-0.780975,-0.657765,0.400583,0.801128,0.877966,0.678994,0.176215,0.803197,0.425447,0.002194,-0.550957,0.040047,0.546125,0.223436,0.360707,0.266328,0.867789,-0.142155,0.2012,0.471182,-0.044872,0.677945,0.639687,0.342182,0.875241,0.975589,0.992692,0.946929,0.905805,0.910928,0.309886,0.323873,3.944694,1.989968,0.165557,1.380254,0.556202,6.086518,3.496579,2.939882,2.455845,2.561457,4.49709,5.808351,1.328348,1.048254,4.930374,14.453457,6.44354,0.671431,1.227695,0.002934,0.04112,0.223446,0.070639,0.086513,0.00351,0.000457,0.000265,0.004154,0.003587,0.016193,0.039404,0.009912,0.000499,0.003958,0.064948,0.018119,0.182617,0.059572,0.008875,0.001518,0.755567,1.05949,1.157689,0.365792,1.206985,0.603023,0.865189,0.371194,0.603023,0.371194,0.365792,0.371194,0.755567,0.135036,0.371194,0.371194,0.371194,0.365792,0.371194,0.83249,0.365792,0.394684,0.6406,0.6406,0.388509,0.557267,1.511527,1.340807,1.277676,0.88372,0.88372,0.63073,0.6406,0.6406,0.388509,1.123907,1.040573,1.027676,0.63073,0.741685,0.6406,0.63073,0.09009,0.056569,-0.033902,0.332232,0.119467,0.093143,0.129441,0.340044,0.306756,0.362749,-0.000581,0.379206,0.002249,0.376445,0.148597,0.151873,0.215561,-0.070144,0.871021,-0.066718,0.194631,0.005965,-0.005387,0.019667,-0.104966,0.053927,0.038288,-0.007395,-0.003293,0.002952,0.003028,0.013022,-0.028942,0.046324,-0.003892,-0.002499,-0.003607,0.046728,0.009622,-0.103955,0.042554,-0.014121,0
1.602996,4.057825,7.005915,9.583994,5.70481,3.073136,1.824673,0.660297,3.5398,3.494382,3.846956,3.495088,3.680724,0.835867,0.576559,2.317722,6.923698,7.206591,9.536256,2.570207,0.952662,0.211079,1.091153,1.129553,2.133808,0.95061,0.623,0.117,0.177926,0.366641,0.815328,1.028221,0.633725,0.573321,0.0593,0.537155,0.778297,2.128808,1.509027,1.297891,0.618412,0.163132,0.532521,-0.406044,0.321498,0.565593,0.59092,0.475141,0.728548,-0.838274,-0.720883,0.188675,-0.502205,-0.671396,-0.622612,-0.649315,0.013784,0.909369,0.9378,0.424831,0.163521,0.372111,0.045422,0.177279,-0.218632,0.178782,0.786351,0.33734,0.913788,0.106937,0.742105,0.159718,0.109548,0.550221,-0.183135,0.839132,0.520937,0.771098,0.919077,0.988333,0.948204,0.861865,0.985123,0.865159,0.371555,1.423818,7.242162,2.107098,0.617995,2.303125,0.995658,6.163753,2.64938,2.421291,3.127664,2.143792,3.968473,6.214257,1.506488,0.77568,4.295147,17.70852,6.145038,0.288224,0.924897,0.000905,0.057454,0.313,0.036371,0.18745,0.02676,0.000399,0.00234,0.012445,0.006657,0.017869,0.099237,0.032784,0.000967,0.021111,0.114622,0.066865,0.339517,0.085367,0.019798,0.000304,0.401078,0.650816,0.812522,0.401078,0.897629,0.650816,0.401078,0.148549,0.565709,0.401078,0.401078,0.650816,0.401078,0.148549,0.401078,0.650816,0.401078,0.812522,0.401078,0.897629,0.650816,1.839952,0.429122,0.421713,1.168537,0.429122,0.894353,0.851482,0.958421,0.695538,0.683734,1.473034,0.695538,0.429122,0.942391,0.695538,1.12455,0.592825,0.981371,0.958421,0.429122,1.605339,0.087011,0.142743,-0.097813,0.556529,0.187168,-0.13172,0.33439,0.355208,0.370429,0.273187,0.087766,0.405131,-0.038705,0.384316,0.168234,0.15197,0.198803,-0.017103,0.894484,0.206352,0.019166,-0.000111,-0.003101,0.006695,-0.129708,0.035534,0.090469,-0.00883,0.004484,-0.006369,0.024234,-0.009087,-0.03125,0.073742,0.011867,0.009425,-0.007939,0.07603,-0.028994,-0.13626,0.055917,0.006745,0
0.043977,0.266446,0.882955,1.422295,2.673275,1.973236,1.603405,0.445385,1.535385,0.686744,0.6827,1.316304,1.588676,1.451369,0.388136,0.756974,3.673285,3.073442,3.746858,2.369601,0.985948,0.221501,0.676647,0.456383,1.237598,0.48173,0.54439,0.151862,0.035099,0.177122,0.100042,0.098295,0.131206,0.209133,0.025493,0.069892,0.113603,0.189353,0.623553,0.398167,0.701014,0.145964,0.522694,-0.835297,-0.182799,0.884618,0.902943,0.151815,0.975569,0.328823,-0.123519,0.983084,0.874386,0.960408,0.911988,0.963286,0.965393,0.6419,-0.065457,0.963678,0.96921,-0.258883,0.88244,0.883219,0.987515,0.895161,-0.355124,-0.733314,-0.985384,-0.623887,-0.805631,-0.985878,-0.769356,-0.989609,-0.927163,-0.997268,-0.533375,-0.936111,-0.960213,-0.523445,0.469108,0.916943,0.990512,0.973563,0.24991,0.296961,0.62621,1.865369,1.326232,0.366701,0.274417,5.354174,3.442558,2.070118,2.333305,1.734488,1.801021,3.853098,1.684565,1.188252,3.279502,11.132588,8.863232,2.947162,2.09542,0.005812,0.072778,0.198333,0.016065,0.088991,0.034924,0.001213,0.000031,0.003092,0.010637,0.01296,0.013425,0.003418,0.000042,0.000049,0.002418,0.003,0.022449,0.113921,0.029328,0.001369,0.143726,0.382543,0.141441,0.143726,0.382543,0.566091,0.382543,0.143726,0.141441,0.382543,0.143726,0.141441,0.382543,0.382543,0.143726,0.382543,0.382543,0.388509,0.141441,0.382543,0.141441,0.661396,0.151097,0.661396,0.151097,0.661396,0.407706,1.159436,1.316499,0.407706,0.407706,0.407706,0.407706,0.407706,1.556931,0.912025,0.151097,1.07248,0.407706,1.055629,0.407706,0.912025,0.066613,0.071743,0.06951,0.107029,0.192337,0.228703,-0.041794,0.328268,0.339743,0.269922,0.175354,0.229191,0.197609,0.14019,0.196985,0.192859,0.135661,0.19854,0.544689,0.464276,0.163097,-0.007575,-0.001745,-0.036669,-0.085603,-0.01503,0.061796,0.022101,0.00125,-0.000352,-0.005522,-0.020406,-0.010762,-0.023443,-0.004053,-0.004463,0.000313,0.007368,0.012357,-0.016288,-0.067656,-0.01566,3
